2013/3/23 19:47:15.784542 [PID:10164] - -------------------------------- 
2013/3/23 19:47:15.784732 [PID:10164] - Main process started. 
2013/3/23 19:47:15.784774 [PID:10164] - k( producer_count ) = v( 4 ) 
2013/3/23 19:47:15.784795 [PID:10164] - k( producer_lifetime ) = v( 20 ) 
2013/3/23 19:47:15.784814 [PID:10164] - k( consumer_count ) = v( 20 ) 
2013/3/23 19:47:15.784830 [PID:10164] - k( main_process_lifetime ) = v( 30 ) 
2013/3/23 19:47:15.784856 [PID:10164] - Configuration data loaded. 
2013/3/23 19:47:15.784885 [PID:10164] - Configuration data released. 
2013/3/23 19:47:15.784962 [PID:10164] - Shared buffer is created and initialized. 
2013/3/23 19:47:15.785853 [PID:10164] - Process [PID:10165] exitid with status: 0 
2013/3/23 19:47:15.785910 [PID:10164] - Process [PID:10166] exitid with status: 0 
2013/3/23 19:47:15.785965 [PID:10164] - Process [PID:10167] exitid with status: 0 
2013/3/23 19:47:15.786014 [PID:10164] - Process [PID:10168] exitid with status: 0 
2013/3/23 19:47:15.786061 [PID:10164] - Process [PID:10169] exitid with status: 0 
2013/3/23 19:47:15.786109 [PID:10164] - Process [PID:10170] exitid with status: 0 
2013/3/23 19:47:15.786155 [PID:10164] - Process [PID:10171] exitid with status: 0 
2013/3/23 19:47:15.786202 [PID:10164] - Process [PID:10172] exitid with status: 0 
2013/3/23 19:47:15.786243 [PID:10164] - Process [PID:10173] exitid with status: 0 
2013/3/23 19:47:15.786283 [PID:10164] - Process [PID:10174] exitid with status: 0 
2013/3/23 19:47:15.786323 [PID:10164] - Process [PID:10175] exitid with status: 0 
2013/3/23 19:47:15.786363 [PID:10164] - Process [PID:10176] exitid with status: 0 
2013/3/23 19:47:15.786403 [PID:10164] - Process [PID:10177] exitid with status: 0 
2013/3/23 19:47:15.786443 [PID:10164] - Process [PID:10178] exitid with status: 0 
2013/3/23 19:47:15.786482 [PID:10164] - Process [PID:10179] exitid with status: 0 
2013/3/23 19:47:15.786522 [PID:10164] - Process [PID:10180] exitid with status: 0 
2013/3/23 19:47:15.786562 [PID:10164] - Process [PID:10181] exitid with status: 0 
2013/3/23 19:47:15.786602 [PID:10164] - Process [PID:10182] exitid with status: 0 
2013/3/23 19:47:15.786642 [PID:10164] - Process [PID:10183] exitid with status: 0 
2013/3/23 19:47:15.786682 [PID:10164] - Process [PID:10184] exitid with status: 0 
2013/3/23 19:47:15.786722 [PID:10164] - Process [PID:10185] exitid with status: 0 
2013/3/23 19:47:15.786761 [PID:10164] - Process [PID:10186] exitid with status: 0 
2013/3/23 19:47:15.786801 [PID:10164] - Process [PID:10187] exitid with status: 0 
2013/3/23 19:47:15.786842 [PID:10164] - Process [PID:10188] exitid with status: 0 
2013/3/23 19:47:15.786881 [PID:10164] - Process [PID:10189] exitid with status: 0 
2013/3/23 19:47:15.786915 [PID:10164] - Main process is being closed. 
2013/3/23 19:47:15.786950 [PID:10164] - Shared buffer is destroyed. 
